,input,output
0,"['1960', 'год', 'быть', 'выпущенный', 'модель', '172', 'a', '.', 'изменение', ':', 'хвостовой', 'оперение', 'и', 'руль', 'направление', 'с', 'обратный', 'стреловидность', 'и', 'крепление', 'для', 'поплавковый', 'шасси', '.']","[['в', '1960', 'год', 'выйти', 'модель', '172', 'а', '.', 'отличие', 'в', 'хвостовой', 'оперение', ',', 'в', 'руль', 'направление', 'и', 'в', 'крепление', 'шасси'], ['в', 'выпущенный', 'в', '1960', 'год', 'модель', 'иметь', 'изменение', 'в', 'хвостовой', 'оперение', 'и', 'руль', 'направление'], ['изменение', ':', 'в', 'хвост', 'и', 'руль', 'направление', 'с', 'обратный', 'стреловидность', 'и', 'крепление', 'для', 'поплавковый', 'шасси', '.'], ['модель', '172', 'а', 'с', 'другой', 'хвостовой', 'оперение', ',', 'крепление', 'для', 'поплавковый', 'шасси', 'руль', 'направление', 'с', 'обратный', 'стреловидность', 'появиться', 'в', '1960', 'год', '.']]"
1,"['14', 'декабрь', '1944', 'год', 'рабочий', 'посёлок', 'ичка', 'быть', 'переименованный', 'в', 'рабочий', 'посёлок', 'советский', ',', 'посол', 'что', 'поселковый', 'совет', 'стать', 'называться', 'советский', '.']","[['14', 'декабрь', '1944', 'год', 'рабочий', 'посёлок', 'ичка', 'переименованный', 'в', 'советский', '.']]"
2,"['26', 'август', '2014', 'год', 'болдок', 'принять', 'участие', 'в', 'памятный', 'матч', 'кубок', 'футбольный', 'лига', 'против', '«', 'манчестер', 'юнайтед', '»', ',', 'в', 'который', '«', 'донс', '»', 'сенсационно', 'обыграть', 'команда', 'луи', 'ван', 'гала', 'со', 'счёт', '4', ':', '0', '.']","[['26', 'август', '2014', 'год', 'болдок', 'выиграть', 'футбольный', 'матч', 'кубок', 'лига', 'у', 'команда', 'луи', 'ван', 'гала', 'со', 'счёт', '4', ':', '0'], ['26', 'август', '2014', 'год', 'болдок', 'принять', 'участие', 'в', 'футбольный', 'матч', 'против', '«', 'манчестер', 'юнайтед', '»', ',', 'где', 'победить', 'со', 'счёт', '4', ':', '0', '.']]"
3,"['armory', '—', 'клиент', 'с', 'различный', 'функция', 'для', 'повышение', 'безопасность', ',', 'являться', 'надстройка', ',', 'работающий', 'поверх', 'bitcoind', ',', 'однако', 'использовать', 'собственный', 'формат', 'хранение', 'секретный', 'ключ', '.']","[['armory', '-', 'программа', 'с', 'различный', 'функция', 'для', 'повышение', 'безопасность', '.', 'являться', 'дополнение', ',', 'который', 'работать', 'вместе', 'с', 'bitcoind', ',', 'но', 'использовать', 'свой', 'собственный', 'способ', 'хранение', 'секретный', 'ключ', '.']]"
4,"['concert', 'for', 'diana', '(', 'рус', '.', 'концерт', 'для', 'диана', ')', '—', 'концерт', 'память', ',', 'организованный', 'в', 'честь', 'диана', ',', 'принцесса', 'уэльский', '.']","[['concert', 'for', 'diana', '-', 'это', 'концерт', ',', 'посвящённый', 'память', 'принцесса', 'диана', 'уэльский', '.'], ['в', 'честь', 'диана', ',', 'принцесса', 'уэльский', ',', 'организованный', 'концерт', 'память', 'диана', '.'], ['концерт', 'для', 'дианы-', 'концентр', 'память', 'диана', ',', 'принцесса', 'уэльский', '.']]"
5,"['playstation', '4', 'не', 'предусматривать', 'региональный', 'блокировка', 'игра', ',', 'так', 'что', 'игра', ',', 'приобретённый', 'в', 'один', 'регион', ',', 'можно', 'запускать', 'на', 'консоль', 'из', 'другой', 'регион', ',', 'и', 'игрок', 'мочь', 'воспользоваться', 'свой', 'учётный', 'запись', 'и', 'цифровой', 'библиотека', 'приобретённый', 'игра', 'через', 'любой', 'консоль', ',', 'вне', 'зависимость', 'от', 'тот', ',', 'в', 'какой', 'регион', 'он', 'быть', 'купленный', '.']","[['playstation', '4', 'не', 'быть', 'блокировать', 'игра', 'региональный', '.', 'если', 'купить', 'игра', 'входной', 'регион', ',', 'мочь', 'запускать', 'на', 'консоль', 'в', 'друг', '.', 'можно', 'пользоваться', 'свой', 'учётный', 'запись', 'и', 'цифровой', 'библиотека', 'игра', 'через', 'консоль', 'в', 'любой', 'регион', '.'], ['игра', 'на', 'playstation', '4', 'не', 'привязанный', 'к', 'регион', 'он', 'покупка', '.', 'игрок', 'мочь', 'пользоваться', 'купленный', 'игра', 'в', 'любой', 'регион', '.']]"
6,"['python', 'популярный', 'среди', 'индивидуальный', 'разработчик', ',', 'но', 'также', 'использоваться', 'крупный', 'компания', 'в', 'достаточно', 'серьёзный', 'продукт', ',', 'ориентированный', 'на', 'получение', 'прибыть', '.']","[['python', 'использовать', 'как', 'отдельный', 'программист', ',', 'так', 'и', 'крупный', 'компания', ',', 'который', 'получать', 'больший', 'прибыль', '.'], ['python', 'популярный', 'у', 'разработчик', 'и', 'крупный', 'компания', 'с', 'цель', 'получение', 'прибыть', '.'], ['популярный', 'python', 'использоваться', 'не', 'только', 'индивидуальный', 'разработчик', ',', 'но', 'и', 'крупный', 'компания', 'в', 'серьёзный', 'продукт', 'для', 'получение', 'прибыть', '.'], ['python', 'востребованный', 'из', 'число', 'личный', 'создатель', ',', 'однако', 'кроме', 'тот', 'применяться', 'больший', 'фирма', 'в', 'довольно', 'основательный', 'провиант', ',', 'направленный', 'в', 'приобретение', 'выгода', '.'], ['python', 'популярный', 'как', 'у', 'отдельный', 'разработчик', ',', 'так', 'и', 'среди', 'крупный', 'компания', 'для', 'получение', 'прибыть', '.']]"
7,"['«', 'теорема', 'морить', '»', 'получить', 'свой', 'название', 'благодаря', 'ричард', 'фейнмана', ',', 'который', 'использовать', 'это', 'тождество', 'именно', 'под', 'это', 'имя', '.']","[['название', '""', 'теорема', 'морить', '""', 'присвоить', 'ричард', 'фейнман', '.']]"
8,"['а', 'по', 'размах', 'политический', 'репрессия', 'против', 'инакомыслящий', 'хрущёвский', 'режим', 'стоить', 'несоизмеримый', 'близкий', 'к', 'сталин', ',', 'что', 'брежневский', '.']","[['политический', 'режим', 'хрущёв', 'большой', 'похожий', 'на', 'режим', 'сталин', ',', 'что', 'режим', 'брежнев', '.'], ['по', 'величина', 'наказание', 'от', 'государство', 'против', 'человек', ',', 'который', 'думать', 'иначе', 'управление', 'хрущёв', 'большой', 'похоже', 'на', 'сталин', ',', 'что', 'на', 'брежнев', '.'], ['режим', 'хрущёв', 'и', 'сталин', 'очень', 'похожий', ',', 'в', 'отличие', 'от', 'брежневский', 'эпоха']]"
9,"['австралия', 'и', 'новый', 'зеландия', 'заключить', 'с', 'япония', 'соглашение', 'о', 'разделение', 'германский', 'колония', ',', 'линия', 'раздеть', 'интерес', 'быть', 'принятый', 'экватор', '.']","[['экватор', 'стать', 'условный', 'линия', 'раздеть', 'германский', 'колония', 'между', 'австралия', ',', 'новый', 'зеландия', 'и', 'япония', '.'], ['германский', 'колония', 'разделить', 'по', 'экватор', 'австралия', 'и', 'новый', 'зеландия', '.'], ['австралия', 'и', 'новый', 'зеландия', 'по', 'соглашение', 'разделить', 'немецкий', 'колония', 'по', 'линия', 'экватор', '.'], ['переть', 'заключение', 'соглашение', 'о', 'разделение', 'германский', 'колония', 'между', 'австралия', ',', 'новый', 'зеландия', 'и', 'япония', ',', 'линия', 'раздеть', 'быть', 'принятый', 'экватор', '.'], ['австралия', ',', 'новый', 'зеландия', 'и', 'япония', 'заключить', 'соглашение', 'о', 'разделение', 'германский', 'колония', 'по', 'экватор', '.']]"
